Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
palletBrownBoxesBase_PickedUp,blocks,Block,,,"Brown Boxes",,"Palette, braune Kisten, Sockel","Base, cajas marrones, palé","Palette, cartons marron, base",Base del bancale con scatole marroni,パレット組ブラウンボックスベース,"받침대 (갈색 상자, 기본)","Paleta, brązowe pudła, podstawa","Palete, caixas marrons, base",Платформа из коричневых коробок на фундаменте,"Palet, Kahverengi Kutular, Taban",底板 棕色盒子 基底,棧板，棕色箱，帶基座,"Base, cajas marrones, palé"
palletBrownBoxesTop_PickedUp,blocks,Block,,,"Brown Boxes",,"Palette, braune Kisten, oben","Parte superior, cajas marrones, palé","Palette, cartons marron, haut",Punta del bancale con scatole marroni,パレット組ブラウンボックス上部,"받침대 (갈색 상자, 상부)","Paleta, brązowe pudła, góra","Palete, caixas marrons, topo",Верх платформы из коричневых коробок,"Palet, Kahverengi Kutular, Üst",底板 棕色盒子 顶部,棧板，棕色箱，堆起,"Parte superior, cajas marrones, palé"
palletBrownBoxesLoose_PickedUp,blocks,Block,,,"Brown Boxes",,"Palette, braune Kisten, lose","Cajas marrones, palé sueltos","Palette, cartons marron, en vrac",Colonna di scatole marroni del bancale,パレット組ブラウンボックス・バラ,"받침대 (갈색 상자, 헐거움)","Paleta, brązowe pudła, luźno","Palete, caixas marrons, soltas",Неполная платформа из коричневых коробок,"Palet, Kahverengi Kutular, Dökme",底板 棕色盒子 松散,棧板，棕色箱，未固定,"Cajas marrones, palé sueltos"
cntBin_PickedUp,blocks,Container,,,Small Trash Bin,,Kleiner Mülleimer,Contenedor pequeño,Petite corbeille,Bidoncino,ゴミ箱（小）,작은 쓰레기통,Mały kosz na śmieci,Lixeira Pequena,Маленькая мусорка,Küçük Çöp Kutusu,小废料桶,小垃圾箱,Contenedor pequeño
cntTrash_can01_PickedUp,blocks,Container,,,Trash Can,,Mülltonne,Papelera,Poubelle,Bidone,ゴミ箱,쓰레기통,Kosz na śmieci,Lata de Lixo,Мусорка,Çöp Kutusu,废料箱,垃圾桶,Papelera
cntFancyGarbageCan_PickedUp,blocks,Container,,,Fancy Garbage Can,,Ausgefallene Mülltonne,Cubo de basura moderno,Couvercle de poubelle décoré,Bidone di metallo,ファンシーなゴミ箱,화려한 쓰레기통,Elegancki śmietnik,Lata de Lixo Chique,Необычное мусорное ведро,Şık Çöp Kutusu,高档垃圾箱,花哨的垃圾桶,Cubo de basura moderno
cntDomedTrashCanFull_PickedUp,blocks,Container,,,Domed Trash Can,,Verfluchte Mülltonne,Parte de arriba de papelera,Poubelle avec couvercle,Bidone con coperchio,ドームゴミ箱,쓰레기통 (돔형),Kosz na śmieci z kopułą,Lata de Lixo Arredondada,Мусорка с крышкой-куполом,Kubbeli Çöp Kutusu,圆顶废料箱,圓頂垃圾桶,Parte de arriba de papelera
cntDomedTrashCanCornerFull_PickedUp,blocks,block,,,Domed Trash Can,,Runde Mülltonne,Papelera cubierta,Poubelle avec couvercle,Bidone con coperchio,ドームゴミ箱,쓰레기통(돔형),Kosz na śmieci z kopułą,Lata de lixo arredondada,Мусорка с крышкой-куполом,Kubbeli Çöp Kutusu,圆顶废料箱,圓頂垃圾桶,Papelera cubierta
cntBruteStyleTrashCanFull_PickedUp,blocks,Container,,,Trash Can,,Mülltonne,Papelera,Poubelle,Bidone,ゴミ箱,쓰레기통,Kosz na śmieci,Lata de Lixo,Мусорка,Çöp Kutusu,废料箱,垃圾桶,Papelera
cntLaundryBasketVer2Full_PickedUp,blocks,Container,,,Laundry Basket,,Wäschekorb,Cesta de la ropa,Panier à linge,Cesto della biancheria,洗濯かご,빨래 바구니,Kosz na pranie,Cesto de Roupa Suja,Корзина для белья,Çamaşır Sepeti,洗衣篮,洗衣籃,Cesta de la ropa
cntLockersShortClosed_PickedUp,blocks,Container,,,Lockers,,Spinde,Taquilla,Casiers,Armadietti,ロッカー,보관소,Zamykane szafki,Armários,Шкафчик для одежды,Kilitli Dolap,储物柜,儲物櫃,Taquilla
cntLuggageMediumClosed_PickedUp,blocks,Container,,,Luggage,,Gepäck,Equipaje,Bagages,Valigia,荷物,수하물,Bagaż,Bagagem,Чемодан,Valiz,行李,行李箱,Equipaje
cntLuggageMediumRandomLootHelper_PickedUp,blocks,Container,,,Luggage Medium,,"Gepäck, mittel",Equipaje mediano,Bagages moyens,Valigia media,荷物（中）,수하물 (중형),"Bagaż, średni,"",Bagagem Média,",Средний чемодан,",Valiz Orta,",中型行李,",中號行李箱,",Equipaje mediano
cntSuitcase_PickedUp,blocks,Container,,,Suitcase,,Koffer,Valija,Valise,Valigetta,スーツケース,옷가방,Walizka,Maleta,Дипломат,Bavul,手提箱,手提箱,Valija
cntMailBox01White_PickedUp,blocks,block,,,White Mailbox,,Weißer Briefkasten,Buzón blanco,Boîte aux lettres blanche,Cassetta postale bianca,郵便受け（白）,흰색 우편함,Biała skrzynka na listy,Caixa de correio branca,Белый почтовый ящик,Beyaz Posta Kutusu,白色邮箱,白色郵箱,Buzón blanco
cntMailbox_PickedUp,blocks,Container,,,Mailbox,,Briefkasten,Buzón,Boîte aux lettres,Cassetta postale,郵便受け,우편함,Skrzynka na listy,Caixa de Correio,Почтовый ящик,Posta Kutusu,邮箱,郵箱,Buzón
cntPostMailbox_PickedUp,blocks,Block,,,Mail Drop Box,,Selbstanlieferstelle,Buzón de correo,Boîte aux lettres de dépôt,Cassetta postale,宅配郵便ポスト,우편함,Skrzynka do wrzucania listów,Caixa de correio urbana,Ящик для сбора почты,Posta Kutusu,信箱,郵件投遞箱,Buzón de correo
cntMedicLootPileA_PickedUp,blocks,Container,,,Medical Supplies,,Medizinische Vorräte,Suministros médicos,Fournitures médicales,Medicinali,医療用物資,의료 보급품,Zasoby medyczne,Suprimentos Médicos,Медикаменты,Tıbbi Malzeme,医药补给,醫療用品,Suministros médicos
cntMedicLootPileB_PickedUp,blocks,Container,,,Medical Supplies,,Medizinische Vorräte,Suministros médicos,Fournitures médicales,Medicinali,医療用物資,의료 보급품,Zasoby medyczne,Suprimentos Médicos,Медикаменты,Tıbbi Malzeme,医药补给,醫療用品,Suministros médicos
cntPillCaseClosed_PickedUp,blocks,Container,,,Medical Cabinet,,Medizinschrank,Botiquín médico,Armoire médicale,Mobiletto medicale,医療用キャビネット,의료용 캐비닛,Szafa na zapasy medyczne,Armário Médico,Шкафчик для медикаментов,Tıbbi Dolap,医疗柜,藥櫃,Botiquín médico
cntMedicineCabinetFaucetClosed_PickedUp,blocks,Container,,,"Medicine Cabinet, Closed",,"Medizinschrank, geschlossen","Botiquín, cerrado","Armoire à pharmacie, fermée",Mobiletto di medicinali chiuso,医薬品キャビネット（閉）,약품 캐비닛 (닫힘),"Szafa na leki, zamknięta",Armário de Remédios (fechado),Закрытый шкафчик для лекарств,"İlaç Dolabı, Kapalı",药柜-关闭,藥櫃，關上的,"Botiquín, cerrado"
cntMedicineCabinetClosed_PickedUp,blocks,Container,,,"Medicine Cabinet, Closed",,"Medizinschrank, geschlossen","Botiquín, cerrado","Armoire à pharmacie, fermée",Mobiletto di medicinali chiuso,医薬品キャビネット（閉）,약품 캐비닛 (닫힘),"Szafa na leki, zamknięta",Armário de Remédios (fechado),Закрытый шкафчик для лекарств,"İlaç Dolabı, Kapalı",药柜-关闭,藥櫃，關上的,"Botiquín, cerrado"
cntMicrowaveOvenVer1Closed_PickedUp,blocks,Container,,,Microwave,,Mikrowelle,Microondas,Micro-ondes,Microonde,電子レンジ,전자렌지,Kuchenka mikrofalowa,Micro-ondas,Микроволновка,Mikrodalga,微波炉,微波爐,Microondas
cntMicrowaveOvenVer2Closed_PickedUp,blocks,Container,,,Microwave,,Mikrowelle,Microondas,Micro-ondes,Microonde,電子レンジ,전자렌지,Kuchenka mikrofalowa,Micro-ondas,Микроволновка,Mikrodalga,微波炉,微波爐,Microondas
cntStoreShelfElectronicsSingleBottomPC_PickedUp,blocks,Container,,,Shelf,,Regal,Estantería,Étagère,Scaffale,棚,선반,Półka,Prateleira,Полка,Raf,货架,貨架,Estantería
cntNightstandClosed_PickedUp,blocks,Container,,,Nightstand,,Nachtkonsole,Mesita de noche,Table de chevet,Comodino,ナイトスタンド,침실용 탁자,Stolik nocny,Criado-mudo,Тумбочка,Komodin,床头柜,床頭櫃,Mesita de noche
cntWallOven_PickedUp,blocks,Container,,,Wall Oven,,Wandofen,Horno empotrable,Four mural,Forno da incasso,壁オーブン,붙박이 오븐,Piec wbudowany,Forno de parede,Встроенная печь,Ankastre Fırın,墙面炉灶,墻內爐,Horno empotrable
cntStoveOldVer1Closed_PickedUp,blocks,Container,,,Old Stove,,Alter Herd,Cocina antigua,Vieille cuisinière,Vecchio fornello,ぼろストーブ,낡은 스토브,Stary piec,Fogão Velho,Старая плита,Eski Ocak,旧炉子,舊爐子,Cocina antigua
cntStoveModernVer1Closed_PickedUp,blocks,Container,,,Modern Stove,,Moderner Herd,Cocina moderna,Cuisinière moderne,Fornello moderno,モダンなストーブ,현대적인 스토브,Nowoczesny piec,Fogão moderno,Современная плита,Modern Ocak,现代炉子,現代爐子,Cocina moderna
cntStoreShelfSingleBottomPharmaGoods01_PickedUp,blocks,Container,,,Shelf,,Regal,Estantería,Étagère,Scaffale,棚,선반,Półka,Prateleira,Полка,Raf,货架,貨架,Estantería
cntRollingToolBoxClosed_PickedUp,blocks,Container,,,Rolling Toolbox,,Rollbarer Werkzeugkasten,Carrito de herramientas,Boîte à outils sur roulettes,Carrello degli attrezzi,キャスター付きツールボックス,원형 공구상자,Skrzynia na narzędzia na kółkach,Caixa de Ferramentas com Rodas,Передвижной ящик с инструментами,Açılır Alet Kutusu,滚轮工具箱,滾動工具箱,Carrito de herramientas
cntStoreShelfSingleBottomFood01_PickedUp,blocks,Container,,,Shelf,,Regal,Estantería,Étagère,Scaffale,棚,선반,Półka,Prateleira,Полка,Raf,货架,貨架,Estantería
cntStoreShelfDoubleBottomShoesFull_PickedUp,blocks,Container,,,Shelf,,Regal,Estantería,Étagère,Scaffale,棚,선반,Półka,Prateleira,Полка,Raf,货架,貨架,Estantería
cntGraniteSink_PickedUp,blocks,Container,,,Sink,,Waschbecken,Fregadero,Évier,Lavandino di granito,流し台,싱크대,Zlew,Pia,Раковина,Eviye,水槽,水槽,Fregadero
cntCabinetOldSink_PickedUp,blocks,Container,,,Old Sink,,Altes Waschbecken,Fregadero viejo,Vieil évier,Vecchio lavandino,古い流し台,낡은 싱크대,Stary zlew,Pia Velha,Старая раковина,Eski Eviye,旧水糟,舊水槽,Fregadero viejo
cntToolBoxClosed_PickedUp,blocks,Container,,,Toolbox,,Werkzeugkasten,Caja de herramientas,Boîte à outils,Scatola degli attrezzi,ツールボックス,공구상자,Skrzynka na narzędzia,Caixa de Ferramentas,Ящик с инструментами,Alet Kutusu,工具箱,工具箱,Caja de herramientas
cntToolBoxOffsetClosed_PickedUp,blocks,block,,,ToolBox,,Werkzeugkasten,Caja de herramientas,Boîte à outils,Scatola degli attrezzi,ツールボックス,공구상자,Skrzynka na narzędzia,Caixa de ferramentas,Ящик с инструментами,Alet Kutusu,工具箱,工具箱,Caja de herramientas
cntStoreShelfSingleBottomHardware01_PickedUp,blocks,Container,,,Shelf,,Regal,Estantería,Étagère,Scaffale,棚,선반,Półka,Prateleira,Полка,Raf,货架,貨架,Estantería
cntWaterCoolerFull_PickedUp,blocks,Container,,,Water Cooler,,Trinkwasserbehälter,Refrigerador para agua,Fontaine à eau,Distributore d'acqua,ウォータークーラー,정수기,Dystrybutor wody,Bebedouro,Кулер для воды,Su Soğutucu,饮水机,飲水機,Refrigerador para agua
cntWaterCoolerFullSideCentered_PickedUp,blocks,block,,,Water Cooler,,Trinkwasserbehälter,Refrigerador para agua,Fontaine à eau,Distributore d'acqua,ウォータークーラー,정수기,Dystrybutor wody,Bebedouro,Кулер для воды,Su Soğutucu,饮水机,飲水機,Refrigerador para agua
cntWeaponsBagSmall_PickedUp,blocks,Container,,,Weapons Bag,,Waffentasche,Bolsa de armas,Sac d'armes,Borsa per armi,武器バッグ,무기 가방,Torba na broń,Bolsa de armas,Сумка с оружием,Silah Çantası,武器包,武器包,Bolsa de armas
cntCasketModernClosedTan_PickedUp,blocks,Block,,,"Tan Casket, Closed",,Hellbrauner Sarg – geschlossen,"Ataúd tostado, cerrado","Cercueil ocre pâle, fermé",Bara marrone chiaro chiusa,棺おけ（黄褐色・閉鎖）,"고동색 장식함, 닫힘","Trumna – beżowa, zamknięta","Caixão bronze, fechado",Закрытый бежевый гроб,"Taba Rengi Tabut, Kapalı",褐色棺材-关闭,關上的棕褐色棺材,"Ataúd tostado, cerrado"
cntCoffinWildWestClosed_PickedUp,blocks,Block,,,Wild West Coffin Closed,,Wildwest-Sarg – Geschlossen,Ataúd del viejo oeste cerrado,Cercueil de western fermé,Bara del selvaggio West chiusa,閉まっている西部風の棺,서부시대 관(닫힘),Trumna z dzikiego zachodu — zamknięte,Caixão de faroeste fechado,Закрытый гроб с Дикого Запада,Vahşi Batı Tabutu - Kapalı,狂野西部合上的棺材,狂野西部棺材關閉,Ataúd del viejo oeste cerrado
cntGunRackLargeGuns01_PickedUp,blocks,Container,,,Gun Rack,,Waffenständer,Estantería para armas,Râtelier d'armes,Rastrelliera per armi,ガンラック,총기 진열대,Miejsce na broń,Prateleira de armas,Оружейная стойка,Silahlık,枪架,槍械架,Estantería para armas
cntLockersTallClosed_PickedUp,blocks,Container,,,Lockers,,Spinde,Taquilla,Casiers,Armadietti,ロッカー,보관소,Zamykane szafki,Armários,Шкафчик для одежды,Kilitli Dolap,储物柜,儲物櫃,Taquilla
cntMetalDesk02Closed_PickedUp,blocks,Container,,,Iron Desk,,Eisenschreibtisch,Escritorio de hierro,Bureau en fer,Scrivania di ferro,鉄机,철제 책상,Żelazne biurko,Escrivaninha de Ferro,Железный письменный стол,Demir Sıra,铁办公桌,鐵桌,Escritorio de hierro
cntWoodDesk01Closed_PickedUp,blocks,Container,,,Wooden Desk,,Holzschreibtisch,Escritorio de madera,Bureau en bois,Scrivania di legno,木の机,목재 책상,Drewniane biurko,Escrivaninha de madeira,Деревянный письменный стол,Tahta Sıra,木办公桌,木桌,Escritorio de madera
cntBeerCooler_PickedUp,blocks,Container,,,Beverage Cooler,,Getränkekühler,Refrigerador para bebidas,Glacière à boissons,Frigo con bevande,ドリンククーラー,음료가 든 냉장고,Chłodziarka do napojów,Refrigerador de Bebidas,Холодильник для напитков,İçecek Soğutucu,饮料冷柜,飲料冰櫃,Refrigerador para bebidas
cntChest01_PickedUp,blocks,Container,,,Wooden Chest,,Holztruhe,Cofre de madera,Coffre en bois,Forziere di legno,木製チェスト,나무 상자,Drewniana skrzynia,Baú de Madeira,Деревянный сундук,Tahta Sandık,木箱,木箱子,Cofre de madera
cntChest02_PickedUp,blocks,Container,,,Chest,,Truhe,Cofre,Coffre,Forziere,チェスト,상자,Skrzynia,Baú,Сундук,Sandık,箱子,箱子,Cofre
cntCardboardBox_PickedUp,blocks,Container,,,Cardboard Box,,Pappkarton,Caja de cartón,Boîte en carton,Scatola di cartone,ダンボール箱,판지 상자,Pudło kartonowe,Caixa de Papelão,Картонная коробка,Karton Kutu,纸箱,紙箱,Caja de cartón
cntGarageStorage_PickedUp,blocks,Container,,,Garage Storage,,Garagenbox,Almacén de garaje,Boîte de garage,Scatola per garage,保管ガレージ,창고,Składowisko śmieci,Depósito de Garagem,Хранилище в гараже,Garaj Deposu,车库储物箱,車庫儲物架,Almacén de garaje
cntBarrelGasSingle00_PickedUp,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelGasSingle45_PickedUp,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelGasQuadA_PickedUp,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntBarrelGasQuadB_PickedUp,blocks,Block,,,Rusty Barrel,,Rostiges Fass,Barril oxidado,Baril rouillé,Barile arrugginito,錆びた樽,낡은 통,Zardzewiała beczka,Barril enferrujado,Ржавая бочка,Paslı Varil,锈桶,鏽桶,Barril oxidado
cntLootCrateConstructionSupplies_PickedUp,blocks,Container,,,Construction Site Box,,Baustellenkiste,Caja de lugar de construcción,Caisse de chantier,Scatola per cantiere,建設予定地ボックス,건설 현장 상자,Pudło z placu budowy,Caixa de Canteiro de Obras,Коробка со стройки,İnşaat Sahası Kutusu,施工场地箱,建築工地盒子,Caja de lugar de construcción
cntLootCrateBookstore_PickedUp,blocks,Container,,,Bookstore Box,,Buchladenkiste,Caja de librería,Caisse de librairie,Scatola per libreria,ブックストアボックス,서점 상자,Pudło na książki,Caixa de Livraria,Коробка из книжного магазина,Kitapçı Kutusu,书店箱,書店盒子,Caja de librería
cntLootCrateHero_PickedUp,blocks,Container,,,Hidden Stash,,Verborgener Vorrat,Reserva oculta,Cache secrète,Scorta segreta,隠匿物,비밀 보관함,Ukryty schowek,Estoque Oculto,Замаскированный тайник,Saklı Zula,隐藏的库存,隱蔽藏匿處,Reserva oculta
cntWasherClosed_PickedUp,blocks,Container,,,Washing Machine,,Waschmaschine,Lavadora,Machine à laver,Lavatrice,洗濯機,세탁기,Pralka,Máquina de Lavar,Стиральная машина,Çamaşır Makinesi,洗衣机,洗衣機,Lavadora
cntDryerClosed_PickedUp,blocks,Container,,,Dryer,,Trockner,Secadora,Sèche-linge,Asciugatrice,ドライヤー,건조기,Suszarka,Secadora,Сушилка,Kurutucu,烘干机,烘乾機,Secadora
cntLootCrateMoPowerElectronics_PickedUp,blocks,Container,,,Mo Power Electronics Box,,„Mo Power Electronics“ Box,Caja de Mo Power Electronics,"Boitier électronique ""Mo Power""",Scatola Mo Power Electronics,Mo Power電子機器箱,Mo Power Electronics 상자,Mo Power Electronics — pudło,Caixa da Mo Power Electronics,Ящик «Mo Power Electronics»,Mo Power Electronics Kutusu,Mo Power 电子产品箱,Mo Power電子盒,Caja de Mo Power Electronics
cntLootCrateCarParts_PickedUp,blocks,Container,,,Car Parts Box,,Autoteile-Kiste,Caja de partes de coche,Caisse de pièces de voiture,Scatola con parti di ricambio per auto,車両パーツボックス,차량 부품 상자,Pudło z częściami samochodowymi,Caixa de Peças de Carro,Коробка с запчасти от машины,Araba Parçaları Kutusu,汽车零件箱,汽車零件盒子,Caja de partes de coche
cntStorageGenericPOI_PickedUp,blocks,Container,,,Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cntLootCrateLabEquipment_PickedUp,blocks,Container,,,Lab Equipment Box,,Laborausrüstungskiste,Caja de equipamiento de laboratorio,Caisse d'équipement de laboratoire,Scatola di equipaggiamento per laboratorio,研究設備ボックス,연구소 장비 상자,Pudło z wyposażeniem laboratoryjnym,Caixa de Equipamentos de Laboratório,Коробка с инструментами из лаборатории,Laboratuvar Ekipmanı Kutusu,实验室设备箱,實驗室設備盒子,Caja de equipamiento de laboratorio
