Key,english,french,spanish,german,polish,brazilian,russian,turkish,tchinese
AmbulanceShell,Damaged Ambulance Shell,Châssis d'ambulance endommagée,Carcasa de ambulancia dañada,Beschädigte Krankenwagenhülle,Uszkodzony korpus karetki pogotowia,Carroceria de ambulância danificada,Поврежденный корпус машины скорой помощи,Hasarlı Ambulans Kabuğu,受損救護車外殼
ammo9mmBulletBall,9mm Ammo,Munitions de 9 mm,Munición de 9 mm,9-mm-Munition,Amunicja 9 mm,Munição 9mm,9-мм патроны,9mm Mühimmat,9 毫米彈藥
ammo9mmBulletBallDesc,A 9mm round used as firearm ammunition. Can be crafted at the Workbench or the Ammo Assembly Station.,Une balle de 9 mm utilisée comme munition pour arme à feu. Peut être fabriquée sur l'établi ou à la station d'assemblage de munitions.,Munición de 9 mm para armas de fuego. Se fabrica en el taller o en la estación de ensamblaje de munición.,"Eine 9-mm-Patrone, die als Munition für Schusswaffen verwendet wird. Kann an der Werkbank oder der Munitionsmontagestation hergestellt werden.",Nabój kalibru 9 mm używany jako amunicja do broni palnej. Można go wytworzyć na stole warsztatowym lub w punkcie montażu amunicji.,Uma munição de 9mm usada em armas de fogo. Pode ser fabricada na Bancada de Trabalho ou na Estação de Montagem de Munição.,"Патрон калибра 9 мм, используемый в качестве боеприпасов для огнестрельного оружия. Можно изготовить на верстаке или на станции сборки боеприпасов.",Ateşli silah mühimmatı olarak kullanılan 9 mm'lik bir mermi. Tezgahta veya Mühimmat Montaj İstasyonunda üretilebilir.,一種 9 毫米彈藥，用作槍支彈藥。可以在工作臺上製作。
ammo9mmBulletHP,HiPower 9mm Ammo,Munitions perforante 9 mm,Munición HiPower de 9 mm,HiPower 9mm Munition,Amunicja HiPower 9 mm,Munição HiPower 9mm,Патроны HiPower 9 мм,HiPower 9mm Mühimmat,HiPower 9毫米彈藥
ammo9mmBulletHPDesc,Armor piercing ammunition works especially well against armored targets but puts a bit more stress on the gun. It can penetrate one enemy or one block of up to 250 hit points to also damage the enemy standing behind it.  Can be crafted in the Workbench or in the Ammo Assembly Station.,"Les munitions perforantes fonctionnent particulièrement bien contre les cibles blindées, mais abîmes un peu plus l'arme. Elles peuvent pénétrer un ennemi ou un bloc de 250 points de vie maximum pour également endommager l'ennemi qui se trouve derrière. Elles peuvent être fabriquées dans l'établi ou dans la station d'assemblage de munitions.","La munición perforante funciona especialmente bien contra objetivos blindados, pero exige un poco más del arma. Puede penetrar a un enemigo o un bloque de hasta 250 puntos de vida, dañando también al enemigo que se encuentra detrás. Se puede fabricar en el banco de trabajo o en la estación de ensamblaje de munición.","Panzerbrechende Munition ist besonders effektiv gegen gepanzerte Ziele, beansprucht die Waffe aber etwas stärker. Sie kann einen Gegner oder einen Block mit bis zu 250 Trefferpunkten durchdringen und dabei auch den dahinter stehenden Gegner verletzen. Sie kann an der Werkbank oder der Munitionsmontagestation hergestellt werden.","Amunicja przeciwpancerna sprawdza się szczególnie dobrze przeciwko celom opancerzonym, ale nieco bardziej obciąża broń. Może przebić jednego wroga lub blok o wartości do 250 punktów wytrzymałości, zadając obrażenia również stojącemu za nim wrogowi. Można ją wytworzyć w warsztacie lub w punkcie montażu amunicji.","A munição perfurante é especialmente eficaz contra alvos blindados, mas exige um pouco mais da arma. Ela pode penetrar um inimigo ou um bloco de até 250 pontos de vida, causando dano também ao inimigo atrás dele. Pode ser fabricada na Bancada de Trabalho ou na Estação de Montagem de Munição.","Бронебойные боеприпасы особенно эффективны против бронированных целей, но создают дополнительную нагрузку на оружие. Они могут пробить одного врага или блок с прочностью до 250 единиц, а также нанести урон противнику, стоящему за ними. Можно изготовить на верстаке или на станции сборки боеприпасов.","Zırh delici mühimmat, özellikle zırhlı hedeflere karşı etkilidir, ancak silaha biraz daha fazla yük bindirir. 250 can puanına kadar tek bir düşmanı veya tek bir bloğu delerek arkasında duran düşmana da hasar verebilir. Tezgahta veya Mühimmat Montaj İstasyonunda üretilebilir.",穿甲彈對裝甲目標特別有效，但會對槍械造成更大壓力。它可以穿透一個敵人或最多250生命值的方塊。
AmmoBundleBaseFullTier1,Ammo Bundle (Tier 1),Lot de munitions (niveau 1),Paquete de munición (nivel 1),Munitionspaket (Stufe 1),Pakiet amunicji (poziom 1),Pacote de Munição (Nível 1),Комплект боеприпасов (Уровень 1),Cephane Paketi (1. Seviye),彈藥組合包（階級 1）
AmmoBundleBaseFullTier1Desc,Convert these to a bundle of your choice,Convertissez ceci en lot de votre choix,Conviértalos en un paquete de su elección,Stellen Sie diese in ein Paket Ihrer Wahl zusammen.,Przekształć je w pakiet według własnego wyboru,Converta-os em um pacote de sua escolha.,Конвертируйте их в комплект по вашему выбору,Bunları seçtiğiniz bir pakete dönüştürün,兌換成你選擇的彈藥組合包
AmmoBundle44FullTier1,.44 Ammo (35),Munitions .44 (35),Munición .44 (35),.44 Munition (35),Amunicja .44 (35),Munição .44 (35),Патроны .44 (35),.44 Cephane (35),.44 彈藥（35）
AmmoBundle762FullTier1,762 Ammo (35),Munitions 7.62 (35),Munición 762 (35),762 Munition (35),762 amunicji (35),762 Munição (35),762 патрона (35),762 Cephane (35),762 彈藥（35）
AmmoBundle9mmFullTier1,9mm Ammo (55),Munitions 9mm (55),Munición de 9 mm (55),9mm Munition (55),Amunicja 9 mm (55),Munição 9mm (55),9-мм патроны (55),9mm Cephane (55),9mm 彈藥（55）
AmmoBundleShellFullTier1,Shotgun Shells (35),Cartouches (35),Cartuchos de escopeta (35),Schrotpatronen (35),Naboje do strzelby (35),Cartuchos de espingarda (35),Патроны для дробовика (35),Av Tüfeği Kovanları (35),霰彈殼（35）
AmmoBundle44Tier1,.44 Ammo Crafting (65),Fabrication de munitions .44 (65),Fabricación de munición del calibre .44 (65),.44 Munitionsherstellung (65),Tworzenie amunicji .44 (65),Fabricação de munição .44 (65),Изготовление патронов .44 (65),.44 Cephane Üretimi (65),.44 彈藥製作（65）
AmmoBundle44Tier2,.44 Ammo Crafting (85),Fabrication de munitions .44 (85),Fabricación de munición del calibre .44 (85),.44 Munitionsherstellung (85),Tworzenie amunicji .44 (85),Fabricação de munição .44 (85),Изготовление патронов .44 (85),.44 Cephane Üretimi (85),.44 彈藥製作（85）
AmmoBundle44Tier3,.44 Ammo Crafting (105),Fabrication de munitions .44 (105),Fabricación de munición del calibre .44 (105),.44 Munitionsherstellung (105),Tworzenie amunicji .44 (105),Fabricação de munição .44 (105),Изготовление патронов .44 (105),.44 Cephane Üretimi (105),.44 彈藥製作（105）
AmmoBundle44Tier4,.44 Ammo Crafting (125),Fabrication de munitions .44 (125),Fabricación de munición del calibre .44 (125),.44 Munitionsherstellung (125),Tworzenie amunicji .44 (125),Fabricação de munição .44 (125),Изготовление патронов .44 (125),.44 Cephane Üretimi (125),.44 彈藥製作（125）
AmmoBundle44Tier5,.44 Ammo Crafting (145),Fabrication de munitions .44 (145),Fabricación de munición del calibre .44 (145),.44 Munitionsherstellung (145),Tworzenie amunicji .44 (145),Fabricação de munição .44 (145),Изготовление патронов .44 (145),.44 Cephane Üretimi (145),.44 彈藥製作（145）
AmmoBundle762Tier1,762 Ammo Crafting (50),Fabrication de munitions 7.62 (50),762 Fabricación de munición (50),762 Munitionsherstellung (50),762 Wytwarzanie amunicji (50),762 Fabricação de Munição (50),762 Изготовление боеприпасов (50),762 Cephane Üretimi (50),762 彈藥製作（50）
AmmoBundle762Tier2,762 Ammo Crafting (70),Fabrication de munitions 7.62 (70),762 Fabricación de munición (70),762 Munitionsherstellung (70),762 Wytwarzanie amunicji (70),762 Fabricação de Munição (70),762 Изготовление боеприпасов (70),762 Cephane Üretimi (70),762 彈藥製作（70）
AmmoBundle762Tier3,762 Ammo Crafting (90),Fabrication de munitions 7.62 (90),762 Fabricación de munición (90),762 Munitionsherstellung (90),762 Wytwarzanie amunicji (90),762 Fabricação de Munição (90),762 Изготовление боеприпасов (90),762 Cephane Üretimi (90),762 彈藥製作（90）
AmmoBundle762Tier4,762 Ammo Crafting (110),Fabrication de munitions 7.62 (110),762 Fabricación de munición (110),762 Munitionsherstellung (110),762 Wytwarzanie amunicji (110),762 Fabricação de Munição (110),762 Изготовление боеприпасов (110),762 Cephane Üretimi (110),762 彈藥製作（110）
AmmoBundle762Tier5,762 Ammo Crafting (130),Fabrication de munitions 7.62 (130),762 Fabricación de munición (130),762 Munitionsherstellung (130),762 Wytwarzanie amunicji (130),762 Fabricação de Munição (130),762 Изготовление боеприпасов (130),762 Cephane Üretimi (130),762 彈藥製作（130）
AmmoBundle9mmTier1,9mm Ammo Crafting (90),Fabrication de munitions 9mm (90),Fabricación de munición de 9 mm (90),9-mm-Munition herstellen (90),Wytwarzanie amunicji 9 mm (90),Fabricação de munição 9mm (90),Изготовление 9-мм патронов (90),9mm Cephane Üretimi (90),9mm 彈藥製作（90）
AmmoBundle9mmTier2,9mm Ammo Crafting (110),Fabrication de munitions 9mm (110),Fabricación de munición de 9 mm (110),9-mm-Munition herstellen (110),Wytwarzanie amunicji 9 mm (110),Fabricação de munição 9mm (110),Изготовление 9-мм патронов (110),9mm Cephane Üretimi (110),9mm 彈藥製作（110）
AmmoBundle9mmTier3,9mm Ammo Crafting (130),Fabrication de munitions 9mm (130),Fabricación de munición de 9 mm (130),9-mm-Munition herstellen (130),Wytwarzanie amunicji 9 mm (130),Fabricação de munição 9mm (130),Изготовление 9-мм патронов (130),9mm Cephane Üretimi (130),9mm 彈藥製作（130）
AmmoBundle9mmTier4,9mm Ammo Crafting (150),Fabrication de munitions 9mm (150),Fabricación de munición de 9 mm (150),9-mm-Munition herstellen (150),Wytwarzanie amunicji 9 mm (150),Fabricação de munição 9mm (150),Изготовление 9-мм патронов (150),9mm Cephane Üretimi (150),9mm 彈藥製作（150）
AmmoBundle9mmTier5,9mm Ammo Crafting (170),Fabrication de munitions 9mm (170),Fabricación de munición de 9 mm (170),9-mm-Munition herstellen (170),Wytwarzanie amunicji 9 mm (170),Fabricação de munição 9mm (170),Изготовление 9-мм патронов (170),9mm Cephane Üretimi (170),9mm 彈藥製作（170）
AmmoBundleArrowTier1,Iron Arrow/Bolt Crafting (100),Fabrication de flèches/carreaux en fer (100),Fabricación de flechas y virotes de hierro (100),Eisenpfeil-/Bolzenherstellung (100),Wytwarzanie żelaznych strzał/bełtów (100),Fabricação de Flechas/Parafusos de Ferro (100),Изготовление железных стрел/болтов (100),Demir Ok/Cıvata Yapımı (100),鐵箭／弩箭製作（100）
AmmoBundleArrowTier2,Iron Arrow/Bolt Crafting (120),Fabrication de flèches/carreaux en fer (120),Fabricación de flechas y virotes de hierro (120),Eisenpfeil-/Bolzenherstellung (120),Wytwarzanie żelaznych strzał/bełtów (120),Fabricação de Flechas/Parafusos de Ferro (120),Изготовление железных стрел/болтов (120),Demir Ok/Cıvata Yapımı (120),鐵箭／弩箭製作（120）
AmmoBundleArrowTier3,Steel Arrow/Bolt Crafting (100),Fabrication de flèches/carreaux en acier (100),Fabricación de flechas y virotes de acero (100),Stahlpfeil-/Stahlbolzenherstellung (100),Wyrób strzał/bełtów ze stali (100),Fabricação de Flechas/Derivatas de Aço (100),Изготовление стальных стрел/болтов (100),Çelik Ok/Cıvata Yapımı (100),鋼箭／弩箭製作（100）
AmmoBundleArrowTier4,Steel Arrow/Bolt Crafting (120),Fabrication de flèches/carreaux en acier (120),Fabricación de flechas y virotes de acero (120),Stahlpfeil-/Bolzenherstellung (120),Wyrób stalowych strzał/bełtów (120),Fabricação de Flechas/Derivos de Aço (120),Изготовление стальных стрел/болтов (120),Çelik Ok/Cıvata Yapımı (120),鋼箭／弩箭製作（120）
AmmoBundleArrowTier5,Steel Arrow/Bolt Crafting (140),Fabrication de flèches/carreaux en acier (140),Fabricación de flechas y virotes de acero (140),Stahlpfeil-/Stahlbolzenherstellung (140),Wyrób stalowych strzał/bełtów (140),Fabricação de Flechas/Derivos de Aço (140),Изготовление стальных стрел/болтов (140),Çelik Ok/Cıvata Yapımı (140),鋼箭／弩箭製作（140）
AmmoBundleBaseTier1,Ammo Crafting Instructions (Tier 1),Instructions de fabrication de munitions (niveau 1),Instrucciones para fabricar munición (nivel 1),Anleitung zur Munitionsherstellung (Stufe 1),Instrukcje wytwarzania amunicji (poziom 1),Instruções para fabricação de munição (Nível 1),Инструкции по изготовлению боеприпасов (Уровень 1),Cephane Üretim Talimatları (1. Seviye),彈藥製作說明（階級 1）
AmmoBundleBaseTier1Desc,Convert these instructions to the crafting bundle of your choice,Convertissez ces instructions en lot de fabrication de votre choix,Convierte estas instrucciones en el paquete de elaboración que elijas.,Übertragen Sie diese Anleitung auf das Bastelset Ihrer Wahl.,Przekształć te instrukcje w wybrany przez siebie pakiet rzemieślniczy,Converta estas instruções para o pacote de artesanato de sua escolha.,Преобразуйте эти инструкции в набор для крафта по вашему выбору,Bu talimatları seçtiğiniz işçilik paketine dönüştürün,將此說明轉換為你選擇的製作包
AmmoBundleBaseTier2,Ammo Crafting Instructions (Tier 2),Instructions de fabrication de munitions (niveau 2),Instrucciones para fabricar munición (nivel 2),Anleitung zur Munitionsherstellung (Stufe 2),Instrukcje wytwarzania amunicji (poziom 2),Instruções de fabricação de munição (Nível 2),Инструкции по изготовлению боеприпасов (Уровень 2),Cephane Üretim Talimatları (2. Kademe),彈藥製作說明（階級 2）
AmmoBundleBaseTier2Desc,Convert these instructions to the crafting bundle of your choice,Convertissez ces instructions en lot de fabrication de votre choix,Convierte estas instrucciones en el paquete de elaboración que elijas.,Übertragen Sie diese Anleitung auf das Bastelset Ihrer Wahl.,Przekształć te instrukcje w wybrany przez siebie pakiet rzemieślniczy,Converta estas instruções para o pacote de artesanato de sua escolha.,Преобразуйте эти инструкции в набор для крафта по вашему выбору,Bu talimatları seçtiğiniz işçilik paketine dönüştürün,將此說明轉換為你選擇的製作包
AmmoBundleBaseTier3,Ammo Crafting Instructions (Tier 3),Instructions de fabrication de munitions (niveau 3),Instrucciones para fabricar munición (nivel 3),Anleitung zur Munitionsherstellung (Stufe 3),Instrukcje wytwarzania amunicji (poziom 3),Instruções de fabricação de munição (Nível 3),Инструкции по изготовлению боеприпасов (Уровень 3),Cephane Üretim Talimatları (3. Seviye),彈藥製作說明（階級 3）
AmmoBundleBaseTier3Desc,Convert these instructions to the crafting bundle of your choice,Convertissez ces instructions en lot de fabrication de votre choix,Convierte estas instrucciones en el paquete de elaboración que elijas.,Übertragen Sie diese Anleitung auf das Bastelset Ihrer Wahl.,Przekształć te instrukcje w wybrany przez siebie pakiet rzemieślniczy,Converta estas instruções para o pacote de artesanato de sua escolha.,Преобразуйте эти инструкции в набор для крафта по вашему выбору,Bu talimatları seçtiğiniz işçilik paketine dönüştürün,將此說明轉換為你選擇的製作包
AmmoBundleBaseTier4,Ammo Crafting Instructions (Tier 4),Instructions de fabrication de munitions (niveau 4),Instrucciones para fabricar munición (nivel 4),Anleitung zur Munitionsherstellung (Stufe 4),Instrukcje wytwarzania amunicji (poziom 4),Instruções de fabricação de munição (Nível 4),Инструкции по изготовлению боеприпасов (Уровень 4),Cephane Üretim Talimatları (4. Seviye),彈藥製作說明（階級 4）
AmmoBundleBaseTier4Desc,Convert these instructions to the crafting bundle of your choice,Convertissez ces instructions en lot de fabrication de votre choix,Convierte estas instrucciones en el paquete de elaboración que elijas.,Übertragen Sie diese Anleitung auf das Bastelset Ihrer Wahl.,Przekształć te instrukcje w wybrany przez siebie pakiet rzemieślniczy,Converta estas instruções para o pacote de artesanato de sua escolha.,Преобразуйте эти инструкции в набор для крафта по вашему выбору,Bu talimatları seçtiğiniz işçilik paketine dönüştürün,將此說明轉換為你選擇的製作包
AmmoBundleBaseTier5,Ammo Crafting Instructions (Tier 5),Instructions de fabrication de munitions (niveau 5),Instrucciones para fabricar munición (nivel 5),Anleitung zur Munitionsherstellung (Stufe 5),Instrukcje wytwarzania amunicji (poziom 5),Instruções de fabricação de munição (Nível 5),Инструкции по изготовлению боеприпасов (Уровень 5),Cephane Üretim Talimatları (5. Seviye),彈藥製作說明（階級 5）
AmmoBundleBaseTier5Desc,Convert these instructions to the crafting bundle of your choice,Convertissez ces instructions en lot de fabrication de votre choix,Convierte estas instrucciones en el paquete de elaboración que elijas.,Übertragen Sie diese Anleitung auf das Bastelset Ihrer Wahl.,Przekształć te instrukcje w wybrany przez siebie pakiet rzemieślniczy,Converta estas instruções para o pacote de artesanato de sua escolha.,Преобразуйте эти инструкции в набор для крафта по вашему выбору,Bu talimatları seçtiğiniz işçilik paketine dönüştürün,將此說明轉換為你選擇的製作包
AmmoBundleShellTier1,Shotgun Shell Ammo Crafting (50),Fabrication de cartouches (50),Fabricación de munición para cartuchos de escopeta (50),Herstellung von Schrotpatronen (50),Wytwarzanie amunicji do strzelby (50),Fabricação de munição para cartuchos de espingarda (50),Изготовление патронов для дробовика (50),Av Tüfeği Mermisi Yapımı (50),霰彈殼製作（50）
AmmoBundleShellTier2,Shotgun Shell Ammo Crafting (70),Fabrication de cartouches (70),Fabricación de munición para cartuchos de escopeta (70),Herstellung von Schrotpatronen (70),Wytwarzanie amunicji do strzelby (70),Fabricação de munição para cartuchos de espingarda (70),Изготовление патронов для дробовика (70),Av Tüfeği Mermisi Yapımı (70),霰彈殼製作（70）
AmmoBundleShellTier3,Shotgun Shell Ammo Crafting (90),Fabrication de cartouches (90),Fabricación de munición para cartuchos de escopeta (90),Herstellung von Schrotpatronen (90),Wytwarzanie amunicji do strzelby (90),Fabricação de munição para cartuchos de espingarda (90),Изготовление патронов для дробовика (90),Av Tüfeği Mermisi Yapımı (90),霰彈殼製作（90）
AmmoBundleShellTier4,Shotgun Shell Ammo Crafting (110),Fabrication de cartouches (110),Fabricación de munición para cartuchos de escopeta (110),Herstellung von Schrotpatronen (110),Wytwarzanie amunicji do strzelby (110),Fabricação de munição para cartuchos de espingarda (110),Изготовление патронов для дробовика (110),Av Tüfeği Mermisi Yapımı (110),霰彈殼製作（110）
AmmoBundleShellTier5,Shotgun Shell Ammo Crafting (130),Fabrication de cartouches (130),Fabricación de munición para cartuchos de escopeta (130),Herstellung von Schrotpatronen (130),Wytwarzanie amunicji do strzelby (130),Fabricação de munição para cartuchos de espingarda (130),Изготовление патронов для дробовика (130),Av Tüfeği Mermisi Yapımı (130),霰彈殼製作（130）
AmmoBundleTurretTier1,Robotic Turret Ammo Crafting (200),Fabrication de munitions de tourelle (200),Fabricación de munición para torretas robóticas (200),Herstellung von Roboter-Geschützmunition (200),Tworzenie amunicji do wieżyczki robota (200),Fabricação de munição para torreta robótica (200),Изготовление боеприпасов для роботизированной турели (200),Robotik Taret Mühimmat Üretimi (200),機器人砲塔彈藥製作（200）
AmmoBundleTurretTier2,Robotic Turret Ammo Crafting (250),Fabrication de munitions de tourelle (250),Fabricación de munición para torretas robóticas (250),Herstellung von Roboter-Geschützmunition (250),Tworzenie amunicji do wieżyczki robota (250),Fabricação de munição para torreta robótica (250),Изготовление боеприпасов для роботизированной турели (250),Robotik Taret Mühimmat Üretimi (250),機器人砲塔彈藥製作（250）
AmmoBundleTurretTier3,Robotic Turret Ammo Crafting (300),Fabrication de munitions de tourelle (300),Fabricación de munición para torretas robóticas (300),Herstellung von Roboter-Geschützmunition (300),Tworzenie amunicji do wieżyczki robota (300),Fabricação de munição para torreta robótica (300),Изготовление боеприпасов для роботизированной турели (300),Robotik Taret Mühimmat Üretimi (300),機器人砲塔彈藥製作（300）
AmmoBundleTurretTier4,Robotic Turret Ammo Crafting (350),Fabrication de munitions de tourelle (350),Fabricación de munición para torretas robóticas (350),Herstellung von Roboter-Geschützmunition (350),Tworzenie amunicji do wieżyczki robota (350),Fabricação de munição para torreta robótica (350),Изготовление боеприпасов для роботизированной турели (350),Robotik Taret Mühimmat Üretimi (350),機器人砲塔彈藥製作（350）
AmmoBundleTurretTier5,Robotic Turret Ammo Crafting (400),Fabrication de munitions de tourelle (400),Fabricación de munición para torretas robóticas (400),Herstellung von Roboter-Geschützmunition (400),Tworzenie amunicji do wieżyczki robota (400),Fabricação de munição para torreta robótica (400),Изготовление боеприпасов для роботизированной турели (400),Robotik Taret Mühimmat Üretimi (400),機器人砲塔彈藥製作（400）
ammoJunkTurretShock,Robotic Turret Shock Ammo,Munitions paralysante pour tourelle robotique,Munición de choque para torreta robótica,Roboter-Turm-Schockmunition,Amunicja uderzeniowa wieżyczki robota,Munição de choque para torre robótica,Роботизированная турель с шоковыми боеприпасами,Robotik Taret Şok Mühimmatı,機器人砲塔電擊彈藥
